Categoría Vehicular;Marca;Modelo_generación;precio;Año
A1;BAJAJ;QUTE;18000;2025
A1;BAJAJ;RE 60;18000;2025
A1;BAJAJ;OTROS MODELOS;18000;2025
A1;BYD;FO COMFORT;32440;2025
A1;BYD;FO G-I;32440;2025
A1;BYD;FO GL-I;32440;2025
A1;BYD;FO GLX-I;32710;2025
A1;BYD;FO LUXURY;32440;2025
A1;BYD;OTROS MODELOS;32440;2025
A1;CHANGAN;BENNI 1.0L MT AC;30100;2025
A1;CHANGAN;BENNI ADVANTAGE;30100;2025
A1;CHANGAN;BENNI BASIC;30100;2025
A1;CHANGAN;BENNI LUXURY;27800;2025
A1;CHANGAN;BENNY 1.0;27130;2025
A1;CHANGAN;MINI BENNI 1.0 MT;30100;2025
A1;CHANGAN;MINI BENNI ADVANTAGE;30100;2025
A1;CHANGAN;MINI BENNI BASIC;30100;2025
A1;CHANGAN;MINI BENNI LUXURY;30100;2025
A1;CHANGAN;OTROS MODELOS;30100;2025
A1;CHANGHE;CH7101BE;26190;2025
A1;CHANGHE;IDEAL;22920;2025
A1;CHANGHE;OTROS MODELOS;24560;2025
A1;CHERY;NEW QQ 1.0 MT;24690;2025
A1;CHERY;QQ;25220;2025
A1;CHERY;QQ 0.8;26890;2025
A1;CHERY;QQ 1.0 MT;26890;2025
A1;CHERY;QQ AC 0.8 MT;26890;2025
A1;CHERY;OTROS MODELOS;26890;2025
A1;CHEVROLET;ALL NEW ONIX 1.0T LTZ MT;42300;2025
A1;CHEVROLET;ALL NEW ONIX 1.0T PREMIER AT;57900;2025
A1;CHEVROLET;ALL NEW ONIX 1.0T RS MT;47960;2025
A1;CHEVROLET;ALL NEW ONIX SEDAN 1.0L LT MT;37410;2025
A1;CHEVROLET;BOLT EV LT 4X2;114640;2025
A1;CHEVROLET;CORSA 3P;34680;2025
A1;CHEVROLET;CORSA 5P;38640;2025
A1;CHEVROLET;CORSA HATCHBACK;35010;2025
A1;CHEVROLET;CORSA SUPER;35980;2025
A1;CHEVROLET;NEW ONIX HB 1.0T LT MT;48810;2025
A1;CHEVROLET;NEW ONIX HB 1.0T LTZ MT ;49200;2025
A1;CHEVROLET;NEW ONIX HB 1.0T PREMIER AT;57220;2025
A1;CHEVROLET;NEW ONIX HB 1.0T RS MT;53240;2025
A1;CHEVROLET;NEW ONIX SEDAN 1.0T LT MT ;49100;2025
A1;CHEVROLET;NEW ONIX SEDAN 1.0T LTZ MT ;52510;2025
A1;CHEVROLET;NEW ONIX SEDAN 1.0T PREMIER AT;48040;2025
A1;CHEVROLET;NEW ONIX SEDAN 1.0T PREMIER AT LAUNCH ED;56620;2025
A1;CHEVROLET;ONIX;40580;2025
A1;CHEVROLET;ONIX 1.0T LT MT*;35500;2025
A1;CHEVROLET;ONIX 1.0T LTZ MT II;52170;2025
A1;CHEVROLET;ONIX 1.0T LTZ MT III;50780;2025
A1;CHEVROLET;ONIX 1.0T PREMIER AT;50480;2025
A1;CHEVROLET;ONIX 1.0T PRIME AT II;40420;2025
A1;CHEVROLET;ONIX 1.0T RS MT;46790;2025
A1;CHEVROLET;ONIX 1.0T RS MT II;54860;2025
A1;CHEVROLET;ONIX 1.0T RS MT*;46790;2025
A1;CHEVROLET;ONIX HB 1.0T PRIME AT III;57560;2025
A1;CHEVROLET;ONIX HB 1.0T RS MT II;55540;2025
A1;CHEVROLET;ONIX LT 1.0T MT MVB;42860;2025
A1;CHEVROLET;ONIX PLUS SEDAN 1.0T PREMIER;43250;2025
A1;CHEVROLET;ONIX SEDAN 1.0L LT MT;48770;2025
A1;CHEVROLET;ONIX SEDAN 1.0L LT MT II;37320;2025
A1;CHEVROLET;ONIX SEDAN 1.0L LTZ II;49690;2025
A1;CHEVROLET;ONIX SEDAN 1.0L MIDNIGHT MT;49500;2025
A1;CHEVROLET;ONIX SEDAN 1.0T LT MT II ONSTAR;43180;2025
A1;CHEVROLET;ONIX SEDAN 1.0T PREMIER AT;45470;2025
A1;CHEVROLET;ONIX SEDAN 1.0T PREMIER AT LAUNCH ED;56620;2025
A1;CHEVROLET;ONIX SEDAN 1.0T PRIME AT II;59200;2025
A1;CHEVROLET;ONIX SEDAN 1.0T PRIME AT III;53820;2025
A1;CHEVROLET;SPARK;33620;2025
A1;CHEVROLET;SPARK 0.8;30620;2025
A1;CHEVROLET;SPARK 1.0;32710;2025
A1;CHEVROLET;SPARK HB;31270;2025
A1;CHEVROLET;SPARK LITE 0.8 MT BASE;31970;2025
A1;CHEVROLET;SPARK LITE LS 0.8 MEC.;30620;2025
A1;CHEVROLET;SPARK LITE LS 0.8 MT BASE;31970;2025
A1;CHEVROLET;SPARK LITE LT 0.8 MEC.;30620;2025
A1;CHEVROLET;SPARK LITE LT 1.0 MEC.;34680;2025
A1;CHEVROLET;OTROS MODELOS;46790;2025
A1;DAEWOO;MATIZ;29440;2025
A1;DAEWOO;MATIZ HATCHBACK 800CC.;29440;2025
A1;DAEWOO;MATIZ S;22920;2025
A1;DAEWOO;MATIZ SE;26190;2025
A1;DAEWOO;TICO DX;29480;2025
