proyecto,fuente,variable,valor
Ampliación Bayóvar,"CPIM MINEM, actualización octubre 2025",anio_fin_ejecucion,
Ampliación Bayóvar,"CPIM MINEM, actualización octubre 2025",anio_inicio_ejecucion,
Ampliación Bayóvar,"CPIM MINEM, actualización octubre 2025",anio_puesta_marcha,
Ampliación Bayóvar,"CPIM MINEM, actualización octubre 2025",capacidad_planta,
Ampliación Bayóvar,"CPIM MINEM, actualización octubre 2025",capex_musd,450.0
Ampliación Bayóvar,"CPIM MINEM, actualización octubre 2025",departamento,Piura
Ampliación Bayóvar,"CPIM MINEM, actualización octubre 2025",etapa_avance,FACTIBILIDAD
Ampliación Bayóvar,"CPIM MINEM, actualización octubre 2025",ley_mineral_recursos,
Ampliación Bayóvar,"CPIM MINEM, actualización octubre 2025",mineral_principal,Fosfatos
Ampliación Bayóvar,"CPIM MINEM, actualización octubre 2025",operador,Compañía Minera Miski Mayo S.R.L.
Ampliación Bayóvar,"CPIM MINEM, actualización octubre 2025",subtipo_proyecto,
Ampliación Bayóvar,"CPIM MINEM, actualización octubre 2025",tiene_fecha_definida,False
Ampliación Bayóvar,"CPIM MINEM, actualización octubre 2025",tipo_proyecto,
Ampliación Cobriza,"CPIM MINEM, actualización octubre 2025",anio_fin_ejecucion,
Ampliación Cobriza,"CPIM MINEM, actualización octubre 2025",anio_inicio_ejecucion,
Ampliación Cobriza,"CPIM MINEM, actualización octubre 2025",anio_puesta_marcha,
Ampliación Cobriza,"CPIM MINEM, actualización octubre 2025",capacidad_planta,
Ampliación Cobriza,"CPIM MINEM, actualización octubre 2025",capex_musd,93.0
Ampliación Cobriza,"CPIM MINEM, actualización octubre 2025",departamento,Huancavelica
Ampliación Cobriza,"CPIM MINEM, actualización octubre 2025",etapa_avance,PRE-FACTIBILIDAD
Ampliación Cobriza,"CPIM MINEM, actualización octubre 2025",ley_mineral_recursos,
Ampliación Cobriza,"CPIM MINEM, actualización octubre 2025",mineral_principal,Cobre
Ampliación Cobriza,"CPIM MINEM, actualización octubre 2025",operador,Operadores Concentrados Peruanos S.A.C.
Ampliación Cobriza,"CPIM MINEM, actualización octubre 2025",subtipo_proyecto,
Ampliación Cobriza,"CPIM MINEM, actualización octubre 2025",tiene_fecha_definida,False
Ampliación Cobriza,"CPIM MINEM, actualización octubre 2025",tipo_proyecto,
Ampliación Contonga,"CPIM MINEM, actualización octubre 2025",anio_fin_ejecucion,
Ampliación Contonga,"CPIM MINEM, actualización octubre 2025",anio_inicio_ejecucion,
Ampliación Contonga,"CPIM MINEM, actualización octubre 2025",anio_puesta_marcha,
Ampliación Contonga,"CPIM MINEM, actualización octubre 2025",capacidad_planta,
Ampliación Contonga,"CPIM MINEM, actualización octubre 2025",capex_musd,362.0
Ampliación Contonga,"CPIM MINEM, actualización octubre 2025",departamento,Áncash
Ampliación Contonga,"CPIM MINEM, actualización octubre 2025",etapa_avance,CONCEPTUAL
Ampliación Contonga,"CPIM MINEM, actualización octubre 2025",ley_mineral_recursos,
Ampliación Contonga,"CPIM MINEM, actualización octubre 2025",mineral_principal,Cobre
Ampliación Contonga,"CPIM MINEM, actualización octubre 2025",operador,Norcobre S.A.C.
Ampliación Contonga,"CPIM MINEM, actualización octubre 2025",subtipo_proyecto,
Ampliación Contonga,"CPIM MINEM, actualización octubre 2025",tiene_fecha_definida,False
Ampliación Contonga,"CPIM MINEM, actualización octubre 2025",tipo_proyecto,
Ampliación Cuajone,"CPIM MINEM, actualización octubre 2025",anio_fin_ejecucion,
Ampliación Cuajone,"CPIM MINEM, actualización octubre 2025",anio_inicio_ejecucion,
Ampliación Cuajone,"CPIM MINEM, actualización octubre 2025",anio_puesta_marcha,
Ampliación Cuajone,"CPIM MINEM, actualización octubre 2025",capacidad_planta,
Ampliación Cuajone,"CPIM MINEM, actualización octubre 2025",capex_musd,605.0
Ampliación Cuajone,"CPIM MINEM, actualización octubre 2025",departamento,Moquegua
Ampliación Cuajone,"CPIM MINEM, actualización octubre 2025",etapa_avance,CONCEPTUAL
Ampliación Cuajone,"CPIM MINEM, actualización octubre 2025",ley_mineral_recursos,
Ampliación Cuajone,"CPIM MINEM, actualización octubre 2025",mineral_principal,Cobre
Ampliación Cuajone,"CPIM MINEM, actualización octubre 2025",operador,Southern Perú Copper Corporation
Ampliación Cuajone,"CPIM MINEM, actualización octubre 2025",subtipo_proyecto,
Ampliación Cuajone,"CPIM MINEM, actualización octubre 2025",tiene_fecha_definida,False
Ampliación Cuajone,"CPIM MINEM, actualización octubre 2025",tipo_proyecto,
Ampliación Esperanza,"CPIM MINEM, actualización octubre 2025",anio_fin_ejecucion,
Ampliación Esperanza,"CPIM MINEM, actualización octubre 2025",anio_inicio_ejecucion,
Ampliación Esperanza,"CPIM MINEM, actualización octubre 2025",anio_puesta_marcha,
Ampliación Esperanza,"CPIM MINEM, actualización octubre 2025",capacidad_planta,
Ampliación Esperanza,"CPIM MINEM, actualización octubre 2025",capex_musd,300.0
Ampliación Esperanza,"CPIM MINEM, actualización octubre 2025",departamento,Arequipa
Ampliación Esperanza,"CPIM MINEM, actualización octubre 2025",etapa_avance,PRE-FACTIBILIDAD
Ampliación Esperanza,"CPIM MINEM, actualización octubre 2025",ley_mineral_recursos,
Ampliación Esperanza,"CPIM MINEM, actualización octubre 2025",mineral_principal,Oro
Ampliación Esperanza,"CPIM MINEM, actualización octubre 2025",operador,Compañía Minera Caraveli S.A.C.
Ampliación Esperanza,"CPIM MINEM, actualización octubre 2025",subtipo_proyecto,
Ampliación Esperanza,"CPIM MINEM, actualización octubre 2025",tiene_fecha_definida,False
Ampliación Esperanza,"CPIM MINEM, actualización octubre 2025",tipo_proyecto,
Ampliación Huachocolpa,"CPIM MINEM, actualización octubre 2025",anio_fin_ejecucion,
Ampliación Huachocolpa,"CPIM MINEM, actualización octubre 2025",anio_inicio_ejecucion,
Ampliación Huachocolpa,"CPIM MINEM, actualización octubre 2025",anio_puesta_marcha,
Ampliación Huachocolpa,"CPIM MINEM, actualización octubre 2025",capacidad_planta,
Ampliación Huachocolpa,"CPIM MINEM, actualización octubre 2025",capex_musd,167.0
Ampliación Huachocolpa,"CPIM MINEM, actualización octubre 2025",departamento,Huancavelica
Ampliación Huachocolpa,"CPIM MINEM, actualización octubre 2025",etapa_avance,FACTIBILIDAD
Ampliación Huachocolpa,"CPIM MINEM, actualización octubre 2025",ley_mineral_recursos,
Ampliación Huachocolpa,"CPIM MINEM, actualización octubre 2025",mineral_principal,Plata
Ampliación Huachocolpa,"CPIM MINEM, actualización octubre 2025",operador,Compañía Minera Kolpa S.A.
Ampliación Huachocolpa,"CPIM MINEM, actualización octubre 2025",subtipo_proyecto,
Ampliación Huachocolpa,"CPIM MINEM, actualización octubre 2025",tiene_fecha_definida,False
Ampliación Huachocolpa,"CPIM MINEM, actualización octubre 2025",tipo_proyecto,
Ampliación Huancapetí,"CPIM MINEM, actualización octubre 2025",anio_fin_ejecucion,2029
Ampliación Huancapetí,"CPIM MINEM, actualización octubre 2025",anio_inicio_ejecucion,2025
Ampliación Huancapetí,"CPIM MINEM, actualización octubre 2025",anio_puesta_marcha,2029
Ampliación Huancapetí,"CPIM MINEM, actualización octubre 2025",capacidad_planta,
Ampliación Huancapetí,"CPIM MINEM, actualización octubre 2025",capex_musd,345.0
Ampliación Huancapetí,"CPIM MINEM, actualización octubre 2025",departamento,Áncash
Ampliación Huancapetí,"CPIM MINEM, actualización octubre 2025",etapa_avance,INGENIERÍA DE DETALLE
Ampliación Huancapetí,"CPIM MINEM, actualización octubre 2025",ley_mineral_recursos,
Ampliación Huancapetí,"CPIM MINEM, actualización octubre 2025",mineral_principal,Zinc
