proyecto,operador,departamento,mineral_principal,etapa_avance,tipo_proyecto,subtipo_proyecto,ley_mineral_recursos,capacidad_planta,anio_inicio_ejecucion,anio_fin_ejecucion,anio_puesta_marcha,tiene_fecha_definida,capex_musd,fuente
Ampliación Bayóvar,Compañía Minera Miski Mayo S.R.L.,Piura,Fosfatos,FACTIBILIDAD,,,,,,,,False,450.0,"CPIM MINEM, actualización octubre 2025"
Ampliación Cobriza,Operadores Concentrados Peruanos S.A.C.,Huancavelica,Cobre,PRE-FACTIBILIDAD,,,,,,,,False,93.0,"CPIM MINEM, actualización octubre 2025"
Ampliación Contonga,Norcobre S.A.C.,Áncash,Cobre,CONCEPTUAL,,,,,,,,False,362.0,"CPIM MINEM, actualización octubre 2025"
Ampliación Cuajone,Southern Perú Copper Corporation,Moquegua,Cobre,CONCEPTUAL,,,,,,,,False,605.0,"CPIM MINEM, actualización octubre 2025"
Ampliación Esperanza,Compañía Minera Caraveli S.A.C.,Arequipa,Oro,PRE-FACTIBILIDAD,,,,,,,,False,300.0,"CPIM MINEM, actualización octubre 2025"
Ampliación Huachocolpa,Compañía Minera Kolpa S.A.,Huancavelica,Plata,FACTIBILIDAD,,,,,,,,False,167.0,"CPIM MINEM, actualización octubre 2025"
Ampliación Huancapetí,Compañía Minera Lincuna S.A.,Áncash,Zinc,INGENIERÍA DE DETALLE,,,,,2025,2029,2029,True,345.0,"CPIM MINEM, actualización octubre 2025"
Ampliación Huarón,Pan American Silver Huarón S.A.C.,Pasco,Plata,FACTIBILIDAD,,,,,2026,2032,2026,True,118.0,"CPIM MINEM, actualización octubre 2025"
Ampliación Ilo,Southern Perú Copper Corporation,Moquegua,Cobre,CONCEPTUAL,,,,,,,2029,False,1354.0,"CPIM MINEM, actualización octubre 2025"
Ampliación Pachapaqui,ICM Pachapaqui S.A.C.,Áncash,Zinc,FACTIBILIDAD,,,,,,,,False,117.0,"CPIM MINEM, actualización octubre 2025"
Ampliación Quellaveco,Anglo American Quellaveco S.A.,Moquegua,Cobre,PRE-FACTIBILIDAD,,,,,,,,False,850.0,"CPIM MINEM, actualización octubre 2025"
Ampliación Recuperada,Recuperada S.A.C.,Huancavelica,Plata,PRE-FACTIBILIDAD,,,,,,,,False,138.0,"CPIM MINEM, actualización octubre 2025"
Ampliación Shougang,Shougang Hierro Peru S.A.A.,Ica,Hierro,PRE-FACTIBILIDAD,,,,,,,,False,900.0,"CPIM MINEM, actualización octubre 2025"
Ampliación Yauricocha,Sociedad Minera Corona S.A.,Lima,Cobre,PRE-FACTIBILIDAD,,,,,,,,False,235.0,"CPIM MINEM, actualización octubre 2025"
Antilla,Antilla Copper S.A.,Apurímac,Cobre,PRE-FACTIBILIDAD,,,,,,,,False,250.0,"CPIM MINEM, actualización octubre 2025"
Ariana,Ariana Operaciones Mineras S.A.C.,Junín,Cobre,EJECUCIÓN (SUSPENDIDA),,,,,,,,False,140.0,"CPIM MINEM, actualización octubre 2025"
Ayawilca,Tinka Resources S.A.C.,Pasco,Zinc,CONCEPTUAL,,,,,,,,False,382.0,"CPIM MINEM, actualización octubre 2025"
Cañariaco,Cañariaco Copper Perú S.A.,Lambayeque,Cobre,PRE-FACTIBILIDAD,,,,,,,,False,2160.0,"CPIM MINEM, actualización octubre 2025"
Cañón Florida,Nexa Resources Perú S.A.A.,Amazonas,Zinc,CONCEPTUAL,,,,,,,,False,214.0,"CPIM MINEM, actualización octubre 2025"
Coimolache Sulfuros,Compañía Minera Coimolache S.A.,Cajamarca,Cobre,CONCEPTUAL,,,,,2029,2034,2032,True,598.0,"CPIM MINEM, actualización octubre 2025"
Conga,Minera Yanacocha S.R.L.,Cajamarca,Oro,FACTIBILIDAD,,,,,,,,False,4800.0,"CPIM MINEM, actualización octubre 2025"
