capitulo,capitulo_descripcion,seccion_numero,seccion_romano,seccion_nombre
01,Animales vivos,1,I,Animales Vivos Y Productos Del Reino Animal
02,Carne y despojos comestibles,1,I,Animales Vivos Y Productos Del Reino Animal
03,"Pescados y crustáceos, moluscos y demás invertebrados acuáticos",1,I,Animales Vivos Y Productos Del Reino Animal
04,"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal, no expresados ni comprendidos en otra parte",1,I,Animales Vivos Y Productos Del Reino Animal
05,Los demás productos de origen animal no expresados ni comprendidos en otra parte,1,I,Animales Vivos Y Productos Del Reino Animal
06,Plantas vivas y productos de la floricultura,2,II,Productos Del Reino Vegetal
07,"Hortalizas, plantas, raíces y tubérculos alimenticios",2,II,Productos Del Reino Vegetal
08,"Frutas y frutos comestibles; cortezas de agrios (cítricos), melones o sandías",2,II,Productos Del Reino Vegetal
09,"Café, té, yerba mate y especias",2,II,Productos Del Reino Vegetal
10,Cereales,2,II,Productos Del Reino Vegetal
11,Productos de la molinería; malta; almidón y fécula; inulina; gluten de trigo,2,II,Productos Del Reino Vegetal
12,Semillas y frutos oleaginosos; semillas y frutos diversos; plantas industriales o medicinales; paja y forraje,2,II,Productos Del Reino Vegetal
13,"Gomas, resinas y demás jugos y extractos vegetales",2,II,Productos Del Reino Vegetal
14,"Materias trenzables y demás productos de origen vegetal, no expresados ni comprendidos en otra parte",2,II,Productos Del Reino Vegetal
15,Grasas y aceites animales o vegetales o de origen microbiano; productos de su desdoblamiento; grasas alimenticias elaboradas; ceras de origen animal o vegetal,3,III,Grasas Y Aceites Animales O Vegetales O De Origen Microbiano; Productos De Su Desdoblamiento; Grasas Alimenticias Elaboradas; Ceras De Origen Animal O Vegetal
16,"Preparaciones de carne, pescado o de crustáceos, moluscos o demás invertebrados acuáticos, o de insectos",4,IV,"Productos De Las Industrias Alimentarias; Bebidas, Líquidos Alcohólicos Y Vinagre; Tabaco Y Sucedáneos Del Tabaco Elaborados Productos, Incluso Con Nicotina, Destinados Para La Inhalación Sin Combusible; Otros Productos Que Contengan Nicotina Destinados Para La Absorción De Nicotina En El Cuerpo Humano."
17,Azúcares y artículos de confitería,4,IV,"Productos De Las Industrias Alimentarias; Bebidas, Líquidos Alcohólicos Y Vinagre; Tabaco Y Sucedáneos Del Tabaco Elaborados Productos, Incluso Con Nicotina, Destinados Para La Inhalación Sin Combusible; Otros Productos Que Contengan Nicotina Destinados Para La Absorción De Nicotina En El Cuerpo Humano."
